id;name;typ;traeger;ort;kanton;region;datum_von;datum_bis;datum_status;turnus;publikum;url;abrufdatum;beleg;deadline_aktion;deadline_typ;kosten;zugang;alter_max;wohnsitz;notiz
2026-09_sbvv-branchenwissen-verlag;Branchenwissen Verlag 2026 - 13 Termine fuer Quereinsteigende (SBVV);Kurs;Schweizer Buchhandels- und Verlags-Verband SBVV;Zuerich;ZH;DCH;2026-09-17;2027-01-14;bestaetigt;jaehrlich;Branche;https://www.sbvv.ch/kurs/947/3/;2026-09-08;Die Kurstage beginnen in der Regel um 09:15 und dauern bis 17 Uhr;2026-09-03;Einreichfrist;CHF 3'700 Mitglieder / CHF 4'200 Nichtmitglieder;;;;"13 Donnerstage vom 17.09.2026 bis 14.01.2027, laeuft also in den Zeitraum hinein. Anmeldeschluss 03.09.2026 bereits verstrichen; naechster Jahrgang vermutlich ab September 2027"
2026-09_fondation-jan-michalski-programme;Fondation Jan Michalski – Programme et expositions;Reihe;Fondation Jan Michalski pour l'écriture et la littérature;Montricher;VD;FCH;2026-09-26;2027-02-14;bestaetigt;laufend;Breitenpublikum+Fachpublikum;https://fondation-janmichalski.com/en/agenda;2026-09-08;The Manuscript Found in Saragossa: From 26 September 2026 to 14 February 2027;KEINE;KEINE;OFFEN;;;;"Literaturhaus mit Bibliothek, Auditorium, Residenz und Buchcafe; laufendes Programm mit Jeudis en residence, Lesungen und der Filmreihe Du roman a l ecran. Frankophon"
2026-09_sbvv-branchenwissen-buchhandel;Branchenwissen Buchhandel 2026/2027 (SBVV);Kurs;Schweizer Buchhandels- und Verlags-Verband SBVV;Zuerich;ZH;DCH;2026-09-28;2027-04-00;bestaetigt;jaehrlich;Branche;https://www.sbvv.ch/kurs/981/3/;2026-09-08;Der Kurs ist ausgebucht, es wird eine Warteliste gefuehrt;2026-09-06;Einreichfrist;CHF 3'800 Mitglieder / CHF 4'350 Nichtmitglieder;;;;"Laeuft bis April 2027 in den Zeitraum hinein; Quereinsteigenden-Lehrgang, 2026/27 ausgebucht. Naechster Jahrgang vermutlich ab September 2027 mit Frist im Sommer"
2026-10_aargauer-literaturhaus;Aargauer Literaturhaus Lenzburg (Müllerhaus);Reihe;Aargauer Literaturhaus, Bleicherain 7, Lenzburg;Lenzburg;AG;DCH;2026-10-00;2027-12-00;angekuendigt;laufend;Breitenpublikum+Schreibende;https://www.aargauer-literaturhaus.ch/veranstaltungen-datenbank;2026-09-08;"Pult-Donnerstag; Sofalesungen; Atelier LITERA; Textstatt";OFFEN;Programmeingabe;OFFEN;;;;"Reihen laufen ganzjährig, Einzeltermine der Datenbank ohne Jahresangabe abrufbar — Monat deshalb offen gelassen; Haus mit Residenz-Atelier und Werkstattbetrieb, dichteste Andockfläche im Aargau"
2026-10_bibliotheken-schaffhausen;Bibliotheken Schaffhausen;Reihe;Bibliotheken Schaffhausen, Stadtbibliothek am Münsterplatz;Schaffhausen;SH;DCH;2026-10-00;2027-12-00;erwartet;laufend;Breitenpublikum;https://bibliotheken-schaffhausen.ch/de/veranstaltungen/erwachsene/;2026-09-08;jeden zweiten Mittwoch in der Stadtbibliothek am Münsterplatz, kostenlos, ohne Anmeldung;OFFEN;Programmeingabe;0;;;;"Erwachsenenprogramm ist im Netz nur als Reihenbeschreibung publiziert, konkrete Lesungstermine ab Oktober 2026 nicht auffindbar; Haus richtet daneben die Schaffhauser Buchwoche im Herbst aus (A1)"
2026-10_cafe-litteraire-buchhandlung-schreiber-olten;Café Littéraire in der Buchhandlung Schreiber;Reihe;Stadtbibliothek Olten mit Buchhandlung Schreiber;Olten;SO;DCH;2026-10-00;2027-12-00;angekuendigt;monatlich;Breitenpublikum;https://www.bibliothekolten.ch/aktuell/veranstaltungen;2026-09-08;Café Littéraire, Donnerstag, 10. September 2026, 18.30–19.45 Uhr, Buchhandlung Schreiber;OFFEN;OFFEN;OFFEN;;;;"Buchhandlung mit fester Reihe und damit Welle-1-Adresse für die Postkarten; belegter Termin liegt im September 2026 vor dem Zeitraum, Fortsetzung monatlich angekündigt — Monat deshalb offen"
2026-10_erzaehlcafe-stadtbibliothek-olten;Erzählcafé Stadtbibliothek Olten;Reihe;Stadtbibliothek Olten;Olten;SO;DCH;2026-10-00;2026-12-00;angekuendigt;monatlich;Breitenpublikum;https://www.bibliothekolten.ch/aktuell/news;2026-09-08;"Erzählcafé: regelmässige Termine bis Dezember; Café philosophique";OFFEN;OFFEN;OFFEN;;;;"Einzeltermine auf der News-Seite ohne Datum genannt, Monat deshalb offen; Olten ist Standort der Vorbereitungstage des Schreibjahrs — kürzester Weg von allen Häusern dieser Liste"
2026-10_kaufleuten-literatur-zuerich;Kaufleuten Literatur;Reihe;Kaufleuten Kulturbetrieb, Pelikanplatz, Zürich;Zürich;ZH;DCH;2026-10-12;2027-02-00;bestaetigt;laufend;Breitenpublikum;https://kaufleuten.ch/events/kultur/literatur/;2026-09-08;"Montag, 12.10.2026 Sasa Stanisic; Dienstag, 13.10.2026 Mareike Fallwickl; Montag, 19.10.2026 Caroline Wahl";;;CHF 20 bis 48 Eintritt;;;;"Programm von September 2026 bis Februar 2027 publiziert, Einzeldaten auf der Übersichtsseite ohne vollständige Datumszeile — Monat offen gelassen; grosses Publikum, Namensprogramm, kooperiert im Juli mit dem Literaturhaus Zürich . Herbstprogramm publiziert, Reihe laeuft bis mindestens 9.2.2027 (Benjamin von Stuckrad-Barre). Der urspruengliche Beleg stand so nicht auf der Seite. Postkarte muss rund vier Wochen vor dem Termin vor Ort liegen, der Druck davor - Frist aus dem Veranstaltungsdatum gerechnet, nicht publiziert"
2026-10_societe-de-lecture-geneve;Société de Lecture de Genève – saison littéraire;Reihe;Société de Lecture de Genève;Genève;GE;FCH;2026-10-00;2027-06-00;erwartet;laufend;Breitenpublikum+Fachpublikum;https://www.societe-de-lecture.ch/;2026-09-08;Francois-Henri Deserable - Le Palais, 15 septembre, 12h30, anime par Pascale Frey;OFFEN;Programmeingabe;OFFEN;;;;Privatbibliothek und literarisches Zentrum seit 1818 mit dichtem Autorenprogramm und Schreibateliers. Neue Website im Aufbau, Einzeldaten der Saison 2026/27 am 08.09.2026 nicht abrufbar
2026-10_lh-liechtenstein-co-writing-room;co-writing-room und Lit-Club (Literaturhaus Liechtenstein);Reihe;Literaturhaus Liechtenstein;Schaan;FL;DCH;2026-10-00;2027-12-00;angekuendigt;monatlich;Schreibende;https://www.literaturhaus.li/?page=1;2026-09-08;"co-writing-room: Sunday writing workshops at 10:00; Lit-Club: Saturdays at 10:00";OFFEN;OFFEN;OFFEN;;;;"Wiederkehrende Formate für Schreibende und Lesende, Einzeldaten auf der Übersichtsseite ohne Jahr — Monat offen gelassen; Schreibwerkstatt-Leitung Monika Vogt, Shared Reading Doris Büchel"
